"Source:","/home/emifre/Git/rs-probe/rs-probe.kicad_sch"
"Date:","Wed 09 Mar 2022 02:24:04 PM CET"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","Manufacturer","Tolerance"
"","","U4","NUF8401MNT4G","interface_esd:NUF8401MNT4G","dfn:DFN-16-1EP_1.6x4mm_P0.5mm","http://www.onsemi.com/pub/Collateral/NUF8401MN-D.PDF","","",""
"","","U5","STDC14","connectors:STDC14","connectors:PinHeader_2x07_FTSH-107-01-L-DV-K","","FTSH-107-01-L-DV-K","",""
"","","U6","RP2040","rp2040:RP2040","qfn:RP2040-QFN-56","","","",""
"","","U7","NUF2042XV6T1G","interface_esd:NUF2042XV6T1G","sot:SOT-563","http://www.onsemi.com/pub/Collateral/NUF2030XV6-D.PDF","","",""
"","","U8","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U9","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U10","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U11","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"","","U12","NCP161AMX330TBG","ldo:NCP161AMX300TBG","dfn:UDFN-4_1x1mm_P0.65mm","https://www.onsemi.com/pub/Collateral/NCP161-D.PDF","NCP161AMX300TBG","ON Semiconductor",""
"","","U13","NCP133AMXADJTCG","Regulator_Linear:NCP133AMX100TCG","Package_DFN_QFN:DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack","http://www.onsemi.com/pub/Collateral/NCP133-D.PDF","","",""
"","","U14","NCP133AMXADJTCG","Regulator_Linear:NCP133AMX100TCG","Package_DFN_QFN:DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack","http://www.onsemi.com/pub/Collateral/NCP133-D.PDF","","",""
"","","X1","12 MHz","Oscillator:ASCO","crystals:Crystal_SMD_2520-4Pin_2.5x2.0mm","https://abracon.com/Oscillators/ASCO.pdf"," ISM95-3251AH-12.000MHZ ","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","Manufacturer","Tolerance"
